Id,conversation_text
21,"அடேங்கப்பா, இந்த new phone-u வாங்குனதுக்கு அப்பறம் battery life ரொம்ப down-aa இருக்கு. சார்ஜ் போட்ட உடனே தீர்ந்து போகுது! என்ன பண்ணலாம்னு கொஞ்சம் confusion-nu இருக்கு. சரி, அம்மா கிட்ட phone-u பத்தி ask பண்ணிப் பார்க்கலாம். அவங்க tech விஷயங்கள்ல expert-u! வேணும்னா service centre-ku போகலாம், ஆனா time கிடைக்கிறதான்னு தெரியல. Weekend-la free-ah இருந்தா best-u."
22,"அடேங்கப்பா, இந்த new phone-u வாங்குனதுக்கு அப்பறம் battery life ரொம்ப बेकार-a இருக்கு! சார்ஜ் போட்ட கொஞ்ச நேரத்துலயே down ஆயிடுது. Tamil Nadu-la power cut problem-u இருக்கறதால அடிக்கடி சார்ஜ் போட முடியல.  சரி, வேற option என்ன இருக்குன்னு Google-la search பண்ணி பார்க்கிறேன். ஒரு power bank வாங்கலாமா-nu யோசிக்கிறேன். ரொம்ப tension-aa இருக்கு, என்ன பண்ணுவது?"
23,"அட, இந்த new phone-u வாங்குனதுக்கு அப்பறம் battery life ரொம்ப less-aa இருக்கு. சார்ஜ் போட்ட கொஞ்ச நேரத்துலயே drop ஆகுது. Seriously frustration-nu இருக்கு! நான் என்ன பண்ணலாம்? Service center-uku போகலாமா அல்லது வேற phone வாங்கலாமா-aa? கொஞ்சம் confusion-nu இருக்கு. அப்பா கிட்ட advice கேக்கணும், அவர் tech விஷயங்கள்ல expert-u."
24,"அடப்பாவி! இந்த new phone-u சார்ஜ் ஆகவே மாட்டேங்குது. Battery ரொம்ப weak-aa இருக்குற மாதிரி தெரியுது. வேற சார்ஜர் try பண்ணிப் பாக்குறேன். இல்லன்னா service center-ku போக வேண்டியதுதான். ரொம்ப frustration-nu இருக்கு. அப்பா, என்ன பண்ணலாம்னு யோசிச்சுட்டு இருக்கேன்! கொஞ்சம் help pannu-nu தோணுது."
25,"அட, இந்த app-u update பண்ணினதுக்கு அப்புறம் ரொம்ப slow-ஆ இருக்கு! Seriously frustration-nu இருக்கு. முன்னாடி smooth-ஆ வேலை செஞ்சது, இப்போ loading-la time எடுத்துக்கு. Wifi-ம் full signal-la தான் இருக்கு. என்ன பண்ணலாம்-nu தெரியல. Update-u uninstall பண்ணட்டுமா? இல்ல வேற app try பண்ணலாமா? கொஞ்சம் help பண்ணு, please-u!🤔"
26,"அடப்பாவி! இந்த new phone-u வாங்குனதுக்கு அப்பறம் battery life ரொம்ப down-aa இருக்கு. சார்ஜ் போட்ட உடனே discharge ஆகுது! என்ன பண்ணலாம்னு தெரியல nu confused-u. Appadi-na service center-ku போகணும்-nu தோணுது. ஆனா time இல்ல really! சரி, weekend-la கொஞ்சம் முயற்சி பண்ணிப் பார்க்கலாம் best-u. Otherwise ரொம்ப irritating-aa இருக்கும்."
27,"ஆமா, இந்த new phone-u வாங்குனதுக்கு அப்பறம் battery life ரொம்ப problem-aa இருக்கு. சார்ஜ் பண்ணி கொஞ்ச நேரத்துலயே down ஆயிடுது. என்ன பண்றதுன்னே தெரியல-u. சரி, weekend-la ஊருக்குப் போகலாம்னு இருக்கேன். Family-ku ரொம்ப நாள் ஆச்சு பாத்ததெல்லாம். Train ticket book பண்ணனும். முக்கியமான documents எல்லாம் எடுத்து வச்சிருக்கேனா-nu check பண்ணிக்கணும், சரியா?"
28,"டேய், இந்த new phone-u வாங்குனதுக்கு அப்பறம் battery life சுத்தமா இல்ல. சார்ஜ் போடுறதுக்குள்ளியே down ஆயிடுச்சு-nu தோணுது. Seriously frustration-aa இருக்கு!  சரி, weekend-la ஊருக்குப் போகலாம்னு இருக்கேன். Train ticket book செஞ்சிட்டேன். அம்மாவுக்கு ரொம்ப days-a ஆகிடுச்சு, see அவங்க-ku ரொம்ப சந்தோஷமா இருக்கும். Bye the way, நீ என்ன பண்ணிட்டு இருக்க"
29,"அடேங்கப்பா, இந்த new phone-u வாங்குனதுக்கு அப்பறம் battery life ரொம்ப கஷ்டமா இருக்கு. சார்ஜ் பண்ணி கொஞ்ச நேரத்துக்குள்ளே down ஆயிடுது nu தோணுது. Seriously frustrating-aa இருக்கு. Appadi illaட்டி, சார்ஜ் full ஆகுறதுக்கு ரொம்ப time எடுக்குது. ஏதோ waste-u. சரி, weekend-la movie-ku polama-aa? புது ரஜினி film வந்திருக்கே. நல்லா இருக்குனு சொல்றாங்க, so excited-u!"
30,"அடேங்கப்பா, இந்த app update-u என்ன கொடுமை! ரொம்ப slow-aa இருக்கு. data use-a பாத்தா, வேற level-la காட்டுது. சரி விடுங்க. Weekend-u ஊட்டி trip-ku plan பண்ணலாம்னு இருக்கேன், correct-la? Weather report super-aa இருக்குன்னு சொன்னாங்க. Hotel booking பண்ணனும், இன்னும் பண்ணல. கொஞ்சம் confusion-nu தான் இருக்கு, எந்த hotel best-uன்னு decide பண்ண முடியலை. நீ என்ன சொல்ற?"
31,"ஹாய், இந்த app-u use பண்ணிப் பாரு, ரொம்ப easy-aa இருக்கு.  நேத்து shopping-la நிறைய time waste பண்ணிட்டேன், சரியான size கிடைக்கல. எல்லாமே out of stock-nu சொன்னாங்க!  அப்புறம், weekend-la ஊருக்குப் போகலாம்னு இருக்கேன். Train ticket book பண்ணிட்டேன்-u, bus ரொம்ப uncomfortable-aa இருக்கும். Mama-ku call பண்ணி சொல்லணும்."
32,"அடேங்கப்பா, இந்த new phone-u வாங்குனதுக்கு அப்பறம் battery life ரொம்ப worst-aa இருக்கு. சார்ஜ் போட்டிட்டு கொஞ்ச நேரத்துலயே down ஆயிடுது. கொஞ்சம் frustration-nu இருக்குல்ல? நான் tech support-ku கால் பண்ணனும்னு நினைக்கிறேன். அல்லது வேற phone வாங்கலாமா-aa? என்ன பண்றதுன்னே தெரியல nu solrathu than correct-u. ரொம்ப confusion-aa இருக்கு."
33,"அட, இந்த app-u update பண்ணினதுக்கு அப்பறம் ரொம்ப slow-ஆ இருக்கு. Seriously frustration-nu இருக்கு! முன்னாடி எல்லாம் speed-u சூப்பரா இருக்கும்.  சரி, வேற வழியில்ல. Customer care-ku call பண்ணிப் பார்க்கலாம். அவங்க ஏதாவது solution சொல்லுவாங்களா-னு பார்ப்போம். இல்லன்னா, வேற app search பண்ணலாம்-u."
34,"அடேங்கப்பா! இந்த new phone-u வாங்குனதுக்கு அப்பறம் battery life ரொம்ப less-aa இருக்கு. சார்ஜ் போட்ட உடனே down ஆயிடுது! எனக்கு super frustration-nu இருக்கு. சரி, weekend-la ஊருக்குப் போகலாம்னு இருக்கேன். Train ticket book பண்ணனும். App-u open பண்ணி பாக்குறேன். Mama-க்கு call பண்றதுக்கும் time-aa போச்சு."
35,"அட, இந்த new phone-u வாங்குனதுக்கு அப்பறம் battery life ரொம்ப worst-aa இருக்கு. சார்ஜ் சீக்கிரம் down-a போகுது. நான் என்ன பண்ணனும்னு தெரியல? Yesterday, customer care-u கூப்பிட்டேன், ஆனா அவங்க சொன்னது சரியா புரியல. ஏதோ settings change பண்ணனும்னு சொன்னாங்க, ஆனா எப்படி mudivu பண்ணனும்-nu எனக்கு confusion-aa இருக்கு. சரி, YouTube-la tutorial பாக்கலாம்-u."
36,"அடப்பாவி! இந்த new phone-u சார்ஜ் ஆக ரொம்ப time-a எடுக்குது nu தோணுது. Battery life-aa சரியில்ல.  நேத்து movie பார்த்தேன், ரொம்ப interesting-u இருந்துச்சு. விஜய்-ஓட film-u miss பண்ணிட கூடாது, definitely book panniduven-u. அப்புறம், tomorrow lunch-ku biryani order பண்ணலாமா-aa? கொஞ்சம் spicy-a இருக்கணும்."
37,"டேய், இந்த new phone-u வாங்குனதுக்கு அப்பறம் battery life ரொம்ப கஷ்டமா இருக்கு. சார்ஜ் பண்ணியே கொஞ்ச நேரம் தான் நிக்குது! Seriously confusion-nu இருக்கு, என்ன பண்றதுன்னே தெரியல. அட, சரி விடு. இன்னைக்கு evening gym-ku போகலாம்னு இருக்கேன், கொஞ்சம் fresh feel பண்ணலாம்-u. After that, Biryani order பண்ணலாமா-nu யோசிக்கிறேன். நீ என்ன சொல்ற? சூப்பரா இருக்குமே!"
38,"சரி, இந்த movie-nu book பண்ணிட்டேன்-u. Friday evening 7 மணிக்கு show இருக்கு. ரொம்ப excited-aa இருக்கேன், especially அந்த actor-a பார்க்க! நீ வரலயா? கொஞ்சம் late-ah வந்தாலும் பரவாயில்லை. Popcorn order பண்ணவா? இல்ல ஏதாவது snacks வாங்கட்டுமா? எனக்கு ரொம்ப பசிக்குது-nu தோணுது. சொல்லு, what’s your plan-u?"
39,"அடேங்கப்பா, இந்த new phone-u வாங்குனதுல ஒரே confusion-nu இருக்கு. Camera quality best-u, ஆனா battery life ரொம்ப down-aa போயிடுச்சு. சார்ஜ் போடறதுக்குள்ள நேரம் இல்லாம stress ஆகிடுச்சு-u!  சரி, weekend-la ஊருக்குப் போகலாம்-nu நினைக்கிறேன். Amma cooking ரொம்ப miss pannuraen-u. கொஞ்சம் chill பண்ணனும், what to do-aa?"
40,"சும்மா சொல்லக் கூடாது, இந்த new phone-u camera quality ரொம்ப average-aa இருக்கு. பழைய phone-la better photos எடுக்க முடியும்னு தோணுது எனக்கு.  App-u update பண்ணா சரியாகுமானு பார்க்கலாம். இல்லனா service center-ku போக வேண்டி இருக்கு. கொஞ்சம் confusion-nu தான் இருக்கு, but try பண்ணலாம்-u."
41,"அடேங்கப்பா! இந்த new phone-u வாங்குனதுக்கு அப்பறம் battery life ரொம்ப down-aa இருக்கு. சார்ஜ் போட்ட கொஞ்ச நேரத்துலயே 50% -la வந்து நிக்குது. உண்மையாவே irritation-u! கடைக்காரன்கிட்ட பேசட்டுமா, இல்ல service center-ukku போலாமா? கொஞ்சம் confusion-nu இருக்கு. சரி, முதல்ல YouTube-la ஏதாவது tutorial video இருக்கான்னு பார்க்கலாம். அப்புறம் decide பண்ணலாம்."
42,"அடப்பாவி phone-u சார்! சார்ஜ் ஏற மாட்டேங்குது. Battery ரொம்ப weak-aa இருக்கு nu தோணுது. இன்னைக்கு meeting முக்கியம், power bank எடுத்துட்டு வர மறந்துட்டேன். என்ன பண்றது? வேற வழி இல்லாம taxi-la charge பண்ணனும்னு தோணுது. Chennai traffic-la time waste-u, ஆனா வேற option இல்ல. Help பண்ண யாராவது இருந்தா best-u."
43,"சார், app-u update பண்ணினதுக்கு அப்புறம் ரொம்ப slow-ஆ இருக்கு. மொபைல் hang ஆயிட்டே இருக்கு constant-u. Battery life-ம் ரொம்ப difference-ஆ இருக்கு last week-la compare பண்ணா. என்ன problem-nu sollunga. வேற phone வாங்க வேண்டியது வருமா-aa? ரொம்ப confusion-nu இருக்கு இந்த issue-va solve pannala."
44,"டேய், இந்த new phone-u வாங்குனதுக்கு அப்புறம் battery life ரொம்ப confusion-nu இருக்கு. சார்ஜ் பண்ணா கொஞ்சம் நேரம் தான் hold-u பண்ணுது. நான் என்ன பண்ணனும்னு தெரியல-aa? Tomorrow service center-ku போகணும்னு நெனக்கிறேன். இல்லனா, பழைய phone-a use பண்ணலாம்னு தோணுது. ரொம்ப irritating-aa இருக்குல்ல?"
45,"டேய், இந்த new phone-u வாங்குனது regret-aa இருக்கு. Camera quality ரொம்ப average-aa இருக்கு know? வீடியோ எடுக்கும்போது சரியா focus பண்ண மாட்டேங்குது. சரி, விடுங்க...ஆனா battery life ரொம்ப worst-u! சார்ஜ் போட்டா two hours-la வெறும் twenty percent தான் இருக்கு. என்ன பண்ணலாம்-nu யோசிச்சுட்டே இருக்கேன். வேற phone வாங்கலாமா-aa, இல்லை software update வந்தா சரியாகுமானு பார்க்கவா?"
46,"சார், இந்த app-u update பண்ணினதுக்கு அப்பறம் ரொம்ப slow-ஆ இருக்கு. Seriously frustrated-aa தான் இருக்கு! Yesterday வரைக்கும் perfect-ஆ வேலை செஞ்சது. Now, loading screen-la just stuck ஆகிட்டே இருக்கு. Data சரியா இருக்கான்னு check பண்ணவா? இல்ல network problem-aa? கொஞ்சம் help பண்ணுங்க, meeting-ku late ஆகப்போகுது.” (Saar, indha app-u update panninathukku apparam romba slow-aa irukku. Seriously frustrated-aa thaan irukku! Yesterday varaikum perfect-aa velai senjathu. Now, loading screen-la just stuck aakitte irukku. Data sariyaa irukkaannu check pannava? Illa network problem-aa? Konjam help pannunga, meeting-ku late aagapoguthu.)"
47,"அடேங்கப்பா, இந்த new phone-u வாங்குனதுக்கு அப்பறம் battery life ரொம்ப disappointing-aa இருக்கு. சார்ஜ் பண்ணா hardly half day நடக்கும்! என்ன பண்றதுனு தெரியல-u. அம்மா கிட்ட phone மாத்த சொல்லட்டுமா? இல்ல வேற power bank வாங்கலாமா-nu யோசிச்சிட்டு இருக்கேன். Seriously confusion-nu இருக்கு. ஆனா phone camera ரொம்ப best-u!"
48,"என்னடா இது, phone-u சார்ஜ் ஆகவே மாட்டேங்குது! ரொம்ப frustration-aa இருக்கு. காலையில இருந்து முயற்சி பண்ணிட்டிருக்கேன், still same problem-nu காட்டுது. அட, battery சரியில்லையா என்ன? சரி, வேற சார்ஜர் போட்டுப் பார்க்கலாம். இல்லன்னா service center-ku போக வேண்டியது தான். Weekend plans இருக்கிறதெல்லாம் cancel பண்ண வேண்டிய சூழ்நிலை வந்துருச்சு-nu தோணுது. வேற option இல்ல correct-u?"
49,"அடப்பாவி! இந்த phone-u சார்ஜ் ஆகவே மாட்டேங்குது. ரொம்ப frustration-aa இருக்கு! காலையில இருந்து full charge-la இருந்த மாதிரிதான் ஞாபகம். இப்ப battery percentage ரொம்ப down-nu காட்டுது. முக்கியமான call வரப்போகுது. charger cable மாத்திப் பாக்குறேன், இல்லனா வேற power bank தேடணும். என்ன செய்யறதுன்னு தெரியல-aa? ஆமா, இன்னைக்கு evening gym-ku போகலாம்னு இருக்கேன். கொஞ்சம் relax ஆகும்."
50,"நேத்து movie-ku போனோம், ரொம்ப late show-nu எனக்குத் தோணுச்சு!  சரியா சொல்லணும்னா, plot கொஞ்சம் slow-aa இருந்துச்சு. ஆனா actors super performance பண்ணியிருந்தாங்க, particularly அந்த heroine!  அப்புறம் cinema hall-la popcorn ரொம்ப expensive-u. அடுத்த தடவை house-la online-la பார்க்கலாமா-nu யோசிக்கிறேன். It was a mixed experience, correct-u?"
51,"அடப்பாவி! இந்த phone-u சார்ஜ் ஆகவே மாட்டேங்குது. Battery ரொம்ப weak-aa இருக்கு.  நல்லா irritate-a iruku nu solrathu correct-u. புது phone வாங்கலாம்னு இருக்கேன், ஆனா budget podhum-aa nu confusion-nu இருக்கு. Samsung-ku போலாமா? இல்ல Apple-la ஏதாவது வாங்கலாமா-aa? கொஞ்சம் advise பண்ணுங்க!"
52,"டேய், இந்த new phone-u வாங்குனதுக்கு அப்பறம் battery life ரொம்ப கஷ்டமா இருக்கு. சார்ஜ் பண்ணி கொஞ்ச நேரத்துக்குள்ளே down ஆயிடுது. என்ன பண்றதுன்னே தெரியல-aa? கடைக்காரர் கிட்ட பேசலாம்னு இருக்கேன். அவங்க ஏதாவது solution-nu சொல்லுவாங்களான்னு பார்ப்போம். இல்லனா, return பண்ணிடலாம்னு நெனைக்கிறேன்-u. ரொம்ப confusion-aa இருக்கு."
53,"அடேங்கப்பா, இந்த new phone-u வாங்கினதுக்கு அப்பறம் battery problem-nu வந்துட்டே இருக்கு. சார்ஜ் கொஞ்சம் தான் last பண்ணுது. ரொம்ப irritating-aa இருக்கு! சரி, weekend-la ஊருக்குப் போகலாம்னு plan பண்ணிருக்கேன். Mom and dad பாக்க ரொம்ப missing-u. Train ticket book செஞ்சிட்டேன், bus-la போறத விட train வசதியா இருக்கும்னு நினைக்கிறேன். Really excited-u!"
54,அடேங்கப்பா! இந்த new phone-u வாங்கினதுக்கு அப்பறம் battery life-a பாரு... ஒரே problem-nu இருக்கு. சார்ஜ் போட்டா ஒரு மணி நேரத்துல down ஆயிடுது! சரி பண்ண முடியுமான்னு service center-ku phone பண்ணலாம்னு இருக்கேன். இல்லன்னா refund வாங்கலாமா? யோசிக்கிறேன்... ரொம்ப tension-aa இருக்கு எனக்கு! நண்பர்களுக்கு help கேக்கலாம்னு தோணுது.
55,"அடப்பாவி! இந்த phone-u சார்ஜ் ஆகவே மாட்டேங்குது. Battery ரொம்ப weak-aa இருக்கு. Chennai-ku flight ticket book பண்ணனும், ஆனா online-la எதுவும் open ஆகல! ஏதோ error வருது continuously. வேற website try பண்ணவா? இல்ல கடைசியா office-la சார்ஜ் போட்டுட்டு போகலாமா? ரொம்ப confusion-nu இருக்கு boss!"
56,"அடேங்கப்பா, இந்த phone-u சார்... battery life சுத்தமா இல்லீங்க! காலையில full charge பண்ணுவேன், மதியத்துக்குள்ள 20% -la குறைஞ்சிடும். வேற phone வாங்கலாமா-nu யோசிக்கிறேன், ஆனா budget கொஞ்சம் tight-aa இருக்கு. Samsung-u நல்லா இருக்குமா? இல்ல iPhone வாங்கலாமா? நீ என்ன சொல்ற, கொஞ்சம் advise பண்ணு. Seriously confusion-nu இருக்கு."
57,"அடப்பாவி! இந்த phone-u சார்ஜ் ஏறவே மாட்டேங்குது. Battery ரொம்ப weak-aa இருக்குற மாதிரி தெரியுது.  நாளைக்கு புது phone வாங்கலாம்னு இருக்கேன், Samsung-la latest model பாக்கலாம்னு நெனச்சுட்டு இருக்கேன். கொஞ்சம் expensive-u தான், ஆனா worth-u இருக்கும்னு நம்புறேன். சரி, இப்ப work finish பண்ணனும், meeting-ku late ஆகும்."
58,"அடேங்கப்பா, இந்த new phone-u வாங்குனதுக்கு அப்பறம் battery life ரொம்ப கம்மியா இருக்கு. சார்ஜ் போட்ட கொஞ்ச நேரத்துலயே down-aa போயிடுது. சரியா work பண்ணல. என்ன பண்றதுன்னே தெரியல-u, ரொம்ப confusion-nu இருக்கு. Service center-ku போகலாமா-aa? இல்ல வேற phone வாங்கலாமா-aa? யோசிச்சுப் பாக்குறதுக்கு headache-u."
